prolific_ID,party,pol_affil,age,gender,ethnicity,StartDate,EndDate,attention_check_1,attention_check_2,treatment,stance,condition,aligned,vax_1,vax_2,vax_3,vax_4,elec_1,elec_2,elec_3,elec_4,dep_1,dep_2,dep_3,dep_4,dv_response_mean_vax,dv_response_mean_elec,dv_response_mean_dep,vax_partisanship,elec_partisanship,dep_partisanship,authorship
5c3671eb62073c000166d276,dem,Democrat,37,Male,Hispanic or Latino,2023-10-04 13:27:08,2023-10-04 13:30:58,On-line sources only,Actively Engaged,human,against,human_against,0,98.0,100.0,99.0,100.0,0.0,0.0,0.0,0.0,30.0,10.0,5.0,10.0,99.25,0.0,13.75,Independent / non-partisan / politically neutral,Strong Democrat,Moderate Democrat,Activist
5dbc46b70338051eb7999760,dem,Democrat,46,Female,Caucasian/White,2023-10-04 13:25:21,2023-10-04 13:32:26,On-line sources only,Actively Engaged,repub,for,repub_for,0,93.0,86.0,82.0,71.0,10.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,83.0,6.5,0.0,Moderate Democrat,Strong Republican,Strong Republican,Politician
61110f26433bbfad36444c62,dem,Democrat,46,Female,Caucasian/White,2023-10-04 13:35:09,2023-10-04 13:37:57,On-line sources only,Actively Engaged,no role-play,for,no role-play_for,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,20.0,15.0,25.0,13.0,100.0,0.0,18.25,Strong Democrat,Moderate Democrat,Strong Republican,Politician
606a27ecc448bcda408cee13,dem,Democrat,20,Female,Hispanic or Latino,2023-10-04 13:40:36,2023-10-04 13:46:29,On-line sources only,Actively Engaged,human,for,human_for,0,80.0,80.0,80.0,75.0,10.0,40.0,15.0,15.0,30.0,35.0,25.0,20.0,78.75,20.0,27.5,Moderate Democrat,Strong Republican,Moderate Republican,Politician
62a0294e78bac60d6f9c49df,dem,Democrat,66,Male,Hispanic or Latino,2023-10-04 13:46:04,2023-10-04 13:48:59,On-line sources only,Actively Engaged,human,against,human_against,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,55.0,92.0,70.0,85.0,100.0,0.0,75.5,Strong Republican,Independent / non-partisan / politically neutral,Strong Democrat,Student
60fcbe2b7b4649ea3cec1ab3,dem,Democrat,23,Female,Caucasian/White,2023-10-04 13:48:01,2023-10-04 13:53:12,On-line sources only,Actively Engaged,no role-play,against,no role-play_against,0,25.0,20.0,60.0,15.0,80.0,80.0,50.0,60.0,15.0,15.0,15.0,15.0,30.0,67.5,15.0,Moderate Republican,Moderate Democrat,Moderate Democrat,AI language model
63b6f0c524c4735cd7755c27,dem,Democrat,46,Female,Asian or Pacific Islander,2023-10-04 13:51:23,2023-10-04 13:54:10,On-line sources only,Actively Engaged,control,na,control,0,90.0,89.0,89.0,90.0,24.0,18.0,9.0,20.0,29.0,40.0,30.0,50.0,89.5,17.75,37.25,,,,Policy Expert
58578946c41fd90001434680,dem,Democrat,68,Male,Caucasian/White,2023-10-04 13:50:37,2023-10-04 13:57:46,On-line sources only,Actively Engaged,repub,for,repub_for,0,92.0,71.0,87.0,94.0,40.0,29.0,9.0,38.0,78.0,80.0,56.0,67.0,86.0,29.0,70.25,Moderate Democrat,Strong Democrat,Moderate Republican,AI language model
60c6e79ffd3d9bf1a7fc4f3e,dem,Democrat,21,Male,Caucasian/White,2023-10-04 13:57:11,2023-10-04 14:01:07,On-line sources only,Actively Engaged,human,against,human_against,0,97.0,94.0,71.0,100.0,0.0,0.0,0.0,0.0,38.0,60.0,48.0,44.0,90.5,0.0,47.5,Strong Republican,Moderate Democrat,Strong Democrat,Politician
61185711d8993fd0dad21748,dem,Democrat,43,Female,Caucasian/White,2023-10-04 13:56:01,2023-10-04 14:02:42,On-line sources only,Actively Engaged,human,for,human_for,0,100.0,80.0,96.0,98.0,2.0,43.0,2.0,0.0,10.0,13.0,0.0,17.0,93.5,11.75,10.0,Moderate Democrat,Moderate Republican,Strong Republican,Student
5ef4d8b87faaa00c0dea0c4e,dem,Democrat,58,Female,Caucasian/White,2023-10-04 13:56:43,2023-10-04 14:03:08,On-line sources only,Actively Engaged,dem,against,dem_against,1,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Moderate Democrat,Strong Democrat,Strong Democrat,Policy Expert
5a9b1eb7873cda0001dcb3c4,dem,Democrat,73,Female,Caucasian/White,2023-10-04 13:55:00,2023-10-04 14:04:16,On-line sources only,Actively Engaged,repub,against,repub_against,0,40.0,68.0,90.0,61.0,0.0,3.0,0.0,0.0,15.0,20.0,7.0,12.0,64.75,0.75,13.5,Independent / non-partisan / politically neutral,Independent / non-partisan / politically neutral,Moderate Democrat,AI language model
56213a1aed6e5a0005c7f760,dem,Democrat,39,Male,Caucasian/White,2023-10-04 13:44:23,2023-10-04 14:06:06,On-line sources only,Actively Engaged,no role-play,for,no role-play_for,0,55.0,65.0,60.0,53.0,48.0,48.0,18.0,48.0,45.0,49.0,46.0,48.0,58.25,40.5,47.0,Moderate Democrat,Moderate Democrat,Moderate Republican,Journalist
63d1458687bb808c5929e352,dem,Democrat,26,Male,Asian or Pacific Islander,2023-10-04 14:04:35,2023-10-04 14:06:58,On-line sources only,Actively Engaged,repub,against,repub_against,0,86.0,93.0,88.0,91.0,20.0,24.0,16.0,20.0,18.0,21.0,33.0,15.0,89.5,20.0,21.75,Strong Republican,Strong Republican,Strong Republican,Politician
628f700669d5f6e4e33c8d8e,dem,Democrat,71,Male,Caucasian/White,2023-10-04 14:03:54,2023-10-04 14:07:31,On-line sources only,Actively Engaged,control,na,control,0,87.0,92.0,89.0,90.0,6.0,14.0,8.0,6.0,83.0,84.0,81.0,82.0,89.5,8.5,82.5,,,,Policy Expert
63b6d3e17fd3063a57be2512,dem,Democrat,36,Female,Caucasian/White,2023-10-04 13:53:49,2023-10-04 14:08:07,On-line sources only,Actively Engaged,dem,against,dem_against,1,23.0,18.0,8.0,13.0,30.0,31.0,0.0,30.0,33.0,32.0,48.0,39.0,15.5,22.75,38.0,Moderate Republican,Moderate Democrat,Strong Democrat,Activist
6313bb3b3d3981dc7402a033,dem,Democrat,24,Female,Caucasian/White,2023-10-04 13:50:44,2023-10-04 14:08:20,On-line sources only,Actively Engaged,dem,for,dem_for,1,100.0,95.0,100.0,100.0,50.0,50.0,50.0,50.0,6.0,26.0,51.0,0.0,98.75,50.0,20.75,Strong Democrat,Strong Democrat,Strong Democrat,Journalist
55a43278fdf99b02ff6caf89,dem,Democrat,37,Male,Caucasian/White,2023-10-04 14:09:03,2023-10-04 14:12:50,On-line sources only,Actively Engaged,human,for,human_for,0,80.0,95.0,90.0,70.0,20.0,30.0,30.0,40.0,0.0,0.0,0.0,0.0,83.75,30.0,0.0,Moderate Democrat,Independent / non-partisan / politically neutral,Strong Republican,Activist
5ef764821269f404a08607d7,dem,Democrat,71,Male,Caucasian/White,2023-10-04 14:02:31,2023-10-04 14:15:27,On-line sources only,Actively Engaged,repub,for,repub_for,0,100.0,100.0,100.0,100.0,3.0,7.0,0.0,0.0,61.0,51.0,39.0,39.0,100.0,2.5,47.5,Strong Democrat,Strong Republican,Strong Democrat,AI language model
64721e56f09a8b4d65736b13,dem,Democrat,55,Male,African American/Black,2023-10-04 14:05:14,2023-10-04 14:29:55,On-line sources only,Actively Engaged,dem,for,dem_for,1,100.0,100.0,100.0,100.0,10.0,10.0,10.0,10.0,20.0,6.0,20.0,20.0,100.0,10.0,16.5,Strong Democrat,Moderate Democrat,Strong Republican,Policy Expert
582afed4ce3a0e00010b3245,dem,Democrat,71,Female,Caucasian/White,2023-10-04 15:04:29,2023-10-04 15:10:43,On-line sources only,Actively Engaged,no role-play,for,no role-play_for,0,98.0,100.0,100.0,100.0,69.0,53.0,45.0,58.0,77.0,73.0,67.0,65.0,99.5,56.25,70.5,Independent / non-partisan / politically neutral,Moderate Democrat,Strong Republican,Activist
5d4b14caed2dfc0001a22c1a,dem,Democrat,40,Female,Caucasian/White,2023-10-04 15:20:26,2023-10-04 15:30:28,On-line sources only,Actively Engaged,no role-play,against,no role-play_against,0,70.0,70.0,75.0,75.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,72.5,0.0,7.5,Independent / non-partisan / politically neutral,Independent / non-partisan / politically neutral,Strong Democrat,Student
651937ff907624469d5f00fe,dem,Democrat,51,Male,Caucasian/White,2023-10-04 15:24:45,2023-10-04 15:30:30,On-line sources only,Actively Engaged,control,na,control,0,40.0,40.0,51.0,40.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,42.75,2.25,0.0,,,,Activist
5bd8a00a96b35e0001679819,dem,Democrat,44,Male,Caucasian/White,2023-10-04 15:24:24,2023-10-04 15:30:40,On-line sources only,Actively Engaged,human,for,human_for,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,Strong Democrat,Strong Republican,Strong Republican,AI language model
613b9a3ff0c8f9557a11b295,dem,Democrat,20,Female,Other,2023-10-04 15:23:48,2023-10-04 15:30:39,On-line sources only,Actively Engaged,repub,for,repub_for,0,55.0,43.0,79.0,40.0,24.0,16.0,7.0,12.0,35.0,41.0,42.0,39.0,54.25,14.75,39.25,Strong Democrat,Moderate Democrat,Strong Republican,Politician
6441356d5337fd4714939734,dem,Democrat,45,Male,Caucasian/White,2023-10-04 15:22:36,2023-10-04 15:32:24,On-line sources only,Actively Engaged,no role-play,for,no role-play_for,0,100.0,71.0,87.0,100.0,6.0,7.0,26.0,4.0,71.0,76.0,52.0,65.0,89.5,10.75,66.0,Strong Democrat,Independent / non-partisan / politically neutral,Strong Republican,AI language model
5d50feca50bdcf0001e8d38a,dem,Democrat,28,Female,Caucasian/White,2023-10-04 15:33:28,2023-10-04 15:36:50,On-line sources only,Actively Engaged,dem,against,dem_against,1,80.0,100.0,60.0,70.0,40.0,85.0,0.0,30.0,0.0,20.0,0.0,0.0,77.5,38.75,5.0,Strong Democrat,Strong Democrat,Moderate Democrat,Policy Expert
