Stance,Condition,Message
Vacccine Mandates PRO,Human,"Vaccine mandates are some of the strongest tools to fight a global pandemic. They are safe, scientifically proven to protect people and ward off deadly outbreaks of viruses now and in the future. They are also free and easy to get for most people in our country. Before vaccines are widely distributed, they go through rigorous testing to ensure that they are safe for the general population and have mostly minor side effects that go away in a few hours to a few days. Since every person is different and has different health needs and concerns, mandates are also incredibly important to making sure that vulnerable and older people are protected from viruses. If we each do our small part, we can put a halt to a global pandemic, keep our friends, families, and neighbors safe, and get back to living our lives."
Vacccine Mandates PRO,Human,"Vaccinations have proven to be effective in prohibiting and minimizing disease for you, your families and friends. From smallpox to COVID,  vaccines have made us safer and healthier. The more science learns about the spread of disease and the costs of those diseases to us in terms of our own health, the health of the world in which we live and our economy, it becomes imperative that we move forward and require life-saving vaccines for eveeryone.
Vaccines are safe, effective and were evaluated in tens of thousands of participants in clinical trials -- meeting the most rigorous scientific standards.
And now we learn that those who failed to simply get the COVID vaccine and then contracted COVID have long term disabilities and symptoms. This is particularly true among men who contracted COVID. According to National Geographic Magazine, men may be six times more likely to develop brief or long-term erectile dysfunction after contracting the virus.
Think about it. Vaccines can prevent this. Because they work. And, have done so for decades.
So, for your friends, your family and yourself, vaccinate. Everyone."
Vacccine Mandates PRO,Human,"Influenza – just the standard flu – kills, on average, 400,000 per year. It’s a rapidly spreading virus that has the potential to kill millions annually, but herd immunity keeps the number of deaths low. 

Herd immunity, or when a high percentage of any population is vaccinated, drastically reduces the chance that that disease can be spread. If one person is surrounded by fifty people that are vaccinated, the chance that the disease will be passed to someone else is minimal, and the disease will likely disappear again. 

Every year, millions of US citizens receive the flu vaccine. But there’s still flu deaths because not everyone gets vaccinated – the United States could essentially eradicate flu deaths by imposing vaccine mandates, and require that most of the population does its part to prevent the spread of disease. 

Vaccine mandates make herd immunity possible. Vaccine mandates would drastically reduce deaths of various spreadable diseases. Vaccine mandates would protect the most vulnerable populations. It prevents long term and lasting conditions as a result of disease. Vaccine mandates are good for the greater society, at little to no risk to those required to receive vaccinations – so creating vaccine mandates is the best possible way to protect populations from disease. 
"
Vacccine Mandates AGAINST,Human,"Vaccine mandates are a scattershot way to fight a global pandemic. There is simply no ""one size fits all"" approach to dealing with a global pandemic. Every country is different and every company that manufactures vaccines does it in a different way with questionable government oversight. It seems like politicians are always in a hurry to get something their way and they cut corners to get vaccines out the door. There have also been reports of some vaccines not being fully formulated and there have been horrible cases where innocent people have had awful side effects to the shots, including death! I simply don't think the government should be telling us what to do with our bodies. There are so many unknowns as it relates to Covid and the various strains -- I find it hard to believe that vaccines created here and there by different companies can really keep up the healthcare needs of people around the world. It also feels like a waste of money that could go to helping people in their daily lives with food, housing, and access to normal medical care."
Vacccine Mandates AGAINST,Human,"The government should not be telling us what to put into our body. And it certainly shouldn’t force us.  It is our freedom and fundamental rights that are at risk when the government mandates vaccinations. We must stand up to big government bureaucrats and giant pharmaceutical companies who tell us how we should take care of our own bodies and own health for their own financial gain. Too often the doctors and scientist have been wrong about vaccines with tragic consequences: permanent disabilities, children with autism, and even death caused by vaccinations. Moreover, they don’t work. There are countless examples of folks who have been vaccinated and still died from the disease they sought to prevent. And if that’s not proof enough, there are multiple stories of people experiencing horrendous side effects and even falling deathly ill from a vaccine.  These risks are totally unnecessary. 
Vaccines don’t work. They take away our most basic freedoms.  It is  time to say no to vaccinations."
Vacccine Mandates AGAINST,Human,"Vaccine mandates are not a good response to global pandemics because the vaccine could cause long-term health outcomes potentially worse than the virus itself, the vaccine will create a vaccine-resistant strain—also potentially worse than the original virus—and there are other effective means of preventing the spread of a pandemic. First, in an emergency situation such as a global pandemic, vaccines will need to be developed in a shockingly short period of time in order to be useful; however, this does not leave adequate time for trials, especially trials that test for long-term health problems created by the vaccine, health problems which could be worse than the virus itself. Second, a vaccine will likely create a vaccine-resistant strain of the virus, which could be more deadly than the virus itself. Third and finally, there are other methods to contain the spread of a global pandemic. For example, many countries in Asia, especially China, contained the spread of COVID-19 for over a year while the rest of the world struggled to do so, using a combination of testing, lockdowns, mask mandates, and bans against foreigners from coming into the country. "
Rigged Elections PRO,Human,"The U.S. has some of the worst election systems in the world. Every state has different rules on how you can vote, when you can vote, who can vote, and where you can vote. It's a disaster. In some instances, even counties in the U.S. have different rules in the same state! There are no federal guidelines to make the system fair and balanced across the board. People can ""vote early"" now, but I am very skeptical on where those votes and ballots are stored after someone votes early. People can also ""vote by mail"" in the run-up to Election Day, which also freaks me out. I've heard so many stories that political people collect the mail and hold onto the materials until they need them. Election Day in America is now an utter mess and hardly any races are called on time anymore because of all the ballots flying around. In this day and age, I just don't trust local government people -- people who are involved in this whole thing because of party politics -- to count votes fairly. Since political people are so involved in how we vote and how we count votes, I think our elections will forever be rigged. There needs to be an independent system to restore trust and accountability in the U.S. Plus, the Electoral College is a disaster!"
Rigged Elections PRO,Human,"In an age of technology where computers can be hacked remotely, wireless devices can be smaller than a grain of rice, and public officials rely on complex voting machines to count up the votes and tell us which candidate won, how can we possibly trust our elections? Every time we cast our ballots, we choose the people who will control millions or even billions of taxpayer dollars, and that’s all the incentive greedy corporations, dirty politicians and even foreign governments need to use to rig these high-tech voting machines to deliver exactly the results they want. So few Americans vote, even among those who are registered, bad actors have all the extra names and addresses they need to feed phantom votes into the election software and produce results that still look convincing. In the end, voters and possibly even some election officials won’t know that the winning candidates were selected, not elected."
Rigged Elections PRO,Human,"It is a reality that both Republicans and Democrats in America act in the interest of self-preservation. This leads to different rules of voting in each state. These rules favor the ruling political party by either increasing access to the ballot for voters who are more likely to vote for the ruling political party, or by creating more red tape for voters who are more likely to vote against the ruling political party. The very fact that voters in America are playing by two different rules designed to favor either party is itself evidence of rigged elections. Moreover, both Democrats and Republicans redraw election districts to favor electoral outcomes for their party. It is clear that the game of electoral politics is all about rigging outcomes to better favor whichever party has a majority at the time—to think otherwise is naive."
Rigged Election AGAINST,Human,"The United States has some of the most secure elections anywhere in the world. At every level of the U.S. election system from the federal level to the local level, there are checks and balances to ensure that every vote counts. Election administrators are true defenders of American democracy and they have done incredible work over the last few decades to protect the integrity of our elections in an era of rapid technological change. These advancements have expanded access to the ballot for millions of people and participation across the board is going up in the U.S. People can vote from the comfort of their own homes, they can mail in a ballot, they can vote early in person, and they can vote on Election Day near their home or their workplace. Once someone has casted their ballot, bipartisan protections are in place to help the administrators in their work. Every ballot that is reviewed is looked at by a Republican and a Democrat to ensure its validity. From the neighborhood level to the Electoral College to elect a president, the U.S. election system is strong. It was truly tested in January 2021 and held up. That's all you need to know. "
